,Date,Time,Rain(mm)
0,2021-07-25,00:00:00,45.5
1,2021-07-25,00:10:00,46.166666666666664
2,2021-07-25,00:20:00,46.5
3,2021-07-25,00:30:00,46.5
4,2021-07-25,00:40:00,46.833333333333336
5,2021-07-25,00:50:00,47.5
6,2021-07-25,01:00:00,48.5
7,2021-07-25,01:10:00,48.5
8,2021-07-25,01:20:00,48.666666666666664
9,2021-07-25,01:30:00,49.0
10,2021-07-25,01:40:00,49.0
11,2021-07-25,01:50:00,49.0
12,2021-07-25,02:00:00,49.0
13,2021-07-25,02:10:00,49.0
14,2021-07-25,02:20:00,49.0
15,2021-07-25,02:30:00,49.0
16,2021-07-25,02:40:00,49.0
17,2021-07-25,02:50:00,49.166666666666664
18,2021-07-25,03:00:00,49.5
19,2021-07-25,03:10:00,0.0
20,2021-07-25,03:20:00,0.0
21,2021-07-25,03:30:00,0.0
22,2021-07-25,03:40:00,0.0
23,2021-07-25,03:50:00,0.0
24,2021-07-25,04:00:00,0.0
25,2021-07-25,04:10:00,0.0
26,2021-07-25,04:20:00,0.0
27,2021-07-25,04:30:00,0.0
28,2021-07-25,04:40:00,0.0
29,2021-07-25,04:50:00,0.0
30,2021-07-25,05:00:00,0.0
31,2021-07-25,05:10:00,0.0
32,2021-07-25,05:20:00,0.0
33,2021-07-25,05:30:00,0.0
34,2021-07-25,05:40:00,0.0
35,2021-07-25,05:50:00,0.0
36,2021-07-25,06:00:00,0.0
37,2021-07-25,06:10:00,0.3333333333333333
38,2021-07-25,06:20:00,0.5
39,2021-07-25,06:30:00,0.5
40,2021-07-25,06:40:00,0.5
41,2021-07-25,06:50:00,0.5
42,2021-07-25,07:00:00,0.5
43,2021-07-25,07:10:00,0.5
44,2021-07-25,07:20:00,0.5
45,2021-07-25,07:30:00,0.5
46,2021-07-25,07:40:00,0.5
47,2021-07-25,07:50:00,0.5
48,2021-07-25,08:00:00,0.5
49,2021-07-25,08:10:00,0.5
50,2021-07-25,08:20:00,0.5
51,2021-07-25,08:30:00,0.5
52,2021-07-25,08:40:00,0.5
53,2021-07-25,08:50:00,0.6666666666666666
54,2021-07-25,09:00:00,1.0
55,2021-07-25,09:10:00,1.0
56,2021-07-25,09:20:00,1.0
